ts,frame_idx,ok,bbox,offx,offy
1764760983.589618,0,1,None,,
1764760983.654634,1,1,None,,
1764760983.671749,2,1,None,,
1764760983.691778,3,1,None,,
1764760983.711955,4,1,None,,
1764760983.731939,5,1,None,,
1764760983.751939,6,1,None,,
1764760983.771955,7,1,None,,
1764760983.792063,8,1,None,,
1764760983.811942,9,1,None,,
1764760983.831938,10,1,None,,
1764760983.919877,11,1,None,,
1764760983.931795,12,1,None,,
1764760983.951826,13,1,None,,
1764760983.971947,14,1,None,,
1764760983.991948,15,1,None,,
1764760984.011943,16,1,None,,
1764760984.031968,17,1,None,,
1764760984.051957,18,1,None,,
1764760984.071947,19,1,None,,
1764760984.091942,20,1,None,,
1764760984.176857,21,1,None,,
1764760984.191807,22,1,None,,
1764760984.211753,23,1,None,,
1764760984.232016,24,1,None,,
1764760984.251962,25,1,None,,
1764760984.271961,26,1,None,,
1764760984.291966,27,1,None,,
1764760984.311946,28,1,None,,
1764760984.331950,29,1,None,,
1764760984.351948,30,1,None,,
1764760984.434378,31,1,None,,
1764760984.451731,32,1,None,,
1764760984.471912,33,1,None,,
1764760984.491954,34,1,None,,
1764760984.512083,35,1,None,,
1764760984.531869,36,1,None,,
1764760984.551996,37,1,None,,
1764760984.571946,38,1,None,,
1764760984.591946,39,1,None,,
1764760984.611933,40,1,None,,
1764760984.695318,41,1,None,,
1764760984.711810,42,1,None,,
1764760984.731863,43,1,None,,
1764760984.751957,44,1,None,,
1764760984.771944,45,1,None,,
1764760984.791966,46,1,None,,
1764760984.811993,47,1,None,,
1764760984.831942,48,1,None,,
1764760984.851952,49,1,None,,
1764760984.871951,50,1,None,,
1764760984.955752,51,1,None,,
1764760984.971814,52,1,None,,
1764760984.991867,53,1,None,,
1764760985.011957,54,1,None,,
1764760985.031957,55,1,None,,
1764760985.051942,56,1,None,,
1764760985.071965,57,1,None,,
1764760985.091945,58,1,None,,
1764760985.112031,59,1,None,,
1764760985.133101,60,1,None,,
1764760985.216607,61,1,None,,
1764760985.231790,62,1,None,,
1764760985.251909,63,1,None,,
1764760985.271949,64,1,None,,
1764760985.291951,65,1,None,,
1764760985.311943,66,1,None,,
1764760985.331945,67,1,None,,
1764760985.351941,68,1,None,,
1764760985.371952,69,1,None,,
1764760985.391949,70,1,None,,
1764760985.473804,71,1,None,,
1764760985.491812,72,1,None,,
1764760985.511907,73,1,None,,
1764760985.531957,74,1,None,,
1764760985.551956,75,1,None,,
1764760985.571945,76,1,None,,
1764760985.591962,77,1,None,,
