ts,frame_idx,ok,bbox,offx,offy
1764761703.638499,0,1,None,,
1764761703.845272,1,1,None,,
1764761703.874223,2,1,None,,
1764761703.945813,3,1,None,,
1764761704.016487,4,1,None,,
1764761704.090813,5,1,None,,
1764761704.159511,6,1,None,,
1764761704.233871,7,1,None,,
1764761704.302667,8,1,None,,
1764761704.376905,9,1,None,,
1764761704.446928,10,1,None,,
1764761704.517133,11,1,None,,
1764761704.588635,12,1,None,,
1764761704.662796,13,1,None,,
1764761704.731638,14,1,None,,
1764761704.805917,15,1,None,,
1764761704.925237,16,1,None,,
1764761704.944097,17,1,None,,
1764761705.016036,18,1,None,,
1764761705.087797,19,1,None,,
1764761705.159355,20,1,None,,
1764761705.231059,21,1,None,,
1764761705.302543,22,1,None,,
1764761705.374238,23,1,None,,
1764761705.445906,24,1,None,,
1764761705.517495,25,1,None,,
1764761705.589085,26,1,None,,
1764761705.660605,27,1,None,,
1764761705.732242,28,1,None,,
1764761705.803762,29,1,None,,
1764761705.875395,30,1,None,,
1764761706.041456,31,1,None,,
1764761706.087960,32,1,None,,
1764761706.160716,33,1,None,,
1764761706.232408,34,1,None,,
1764761706.303982,35,1,None,,
1764761706.375516,36,1,None,,
1764761706.447237,37,1,None,,
1764761706.518868,38,1,None,,
1764761706.590461,39,1,None,,
1764761706.662081,40,1,None,,
1764761706.733824,41,1,None,,
1764761706.805411,42,1,None,,
1764761706.876912,43,1,None,,
1764761706.948793,44,1,None,,
1764761707.020391,45,1,None,,
1764761707.154341,46,1,None,,
1764761707.171881,47,1,None,,
1764761707.231055,48,1,None,,
1764761707.301055,49,1,None,,
1764761707.370937,50,1,None,,
1764761707.443542,51,1,None,,
1764761707.515048,52,1,None,,
1764761707.586714,53,1,None,,
1764761707.658212,54,1,None,,
1764761707.729716,55,1,None,,
1764761707.801280,56,1,None,,
1764761707.872821,57,1,None,,
1764761707.944372,58,1,None,,
1764761708.015897,59,1,None,,
1764761708.087547,60,1,None,,
1764761708.244912,61,1,None,,
1764761708.299185,62,1,None,,
1764761708.369625,63,1,None,,
1764761708.442002,64,1,None,,
1764761708.513542,65,1,None,,
1764761708.585190,66,1,None,,
1764761708.656804,67,1,None,,
1764761708.728627,68,1,None,,
1764761708.800226,69,1,None,,
1764761708.871841,70,1,None,,
1764761708.943544,71,1,None,,
1764761709.015345,72,1,None,,
1764761709.086987,73,1,None,,
1764761709.158586,74,1,None,,
1764761709.230431,75,1,None,,
1764761709.347620,76,1,None,,
1764761709.374383,77,1,None,,
1764761709.446058,78,1,None,,
1764761709.517716,79,1,None,,
1764761709.589549,80,1,None,,
1764761709.661083,81,1,None,,
1764761709.732648,82,1,None,,
1764761709.804217,83,1,None,,
1764761709.875856,84,1,None,,
1764761709.947498,85,1,None,,
1764761710.019018,86,1,None,,
1764761710.090655,87,1,None,,
1764761710.162279,88,1,None,,
1764761710.233816,89,1,None,,
1764761710.305743,90,1,None,,
1764761710.451539,91,1,None,,
1764761710.518629,92,1,None,,
1764761710.590497,93,1,None,,
1764761710.662306,94,1,None,,
1764761710.734222,95,1,None,,
1764761710.806063,96,1,None,,
1764761710.877595,97,1,None,,
1764761710.949447,98,1,None,,
1764761711.021133,99,1,None,,
1764761711.092711,100,1,None,,
1764761711.164489,101,1,None,,
1764761711.236134,102,1,None,,
1764761711.307925,103,1,None,,
1764761711.379584,104,1,None,,
1764761711.451245,105,1,None,,
1764761711.580734,106,1,None,,
1764761711.594995,107,1,None,,
1764761711.666801,108,1,None,,
1764761711.738378,109,1,None,,
1764761711.809999,110,1,None,,
1764761711.881663,111,1,None,,
1764761711.953266,112,1,None,,
1764761712.024980,113,1,None,,
1764761712.096504,114,1,None,,
1764761712.168273,115,1,None,,
1764761712.240003,116,1,None,,
1764761712.311651,117,1,None,,
1764761712.383221,118,1,None,,
1764761712.454893,119,1,None,,
1764761712.526563,120,1,None,,
1764761712.699950,121,1,None,,
1764761712.739435,122,1,None,,
1764761712.810405,123,1,None,,
1764761712.882166,124,1,None,,
1764761712.953884,125,1,None,,
1764761713.025624,126,1,None,,
1764761713.097253,127,1,None,,
1764761713.169154,128,1,None,,
1764761713.240908,129,1,None,,
1764761713.312574,130,1,None,,
1764761713.384281,131,1,None,,
1764761713.455862,132,1,None,,
1764761713.527713,133,1,None,,
1764761713.599358,134,1,None,,
1764761713.670978,135,1,None,,
1764761713.782679,136,1,None,,
1764761713.811921,137,1,None,,
1764761713.882296,138,1,None,,
1764761713.954664,139,1,None,,
1764761714.026311,140,1,None,,
1764761714.097889,141,1,None,,
1764761714.169641,142,1,None,,
1764761714.241364,143,1,None,,
1764761714.312983,144,1,None,,
1764761714.384657,145,1,None,,
1764761714.456221,146,1,None,,
1764761714.528030,147,1,None,,
1764761714.599694,148,1,None,,
1764761714.671065,149,1,None,,
1764761714.742536,150,1,None,,
1764761714.905110,151,1,None,,
1764761714.952834,152,1,None,,
1764761715.023369,153,1,None,,
1764761715.093965,154,1,None,,
1764761715.164525,155,1,None,,
1764761715.237918,156,1,None,,
1764761715.305107,157,1,None,,
1764761715.375202,158,1,None,,
1764761715.445226,159,1,None,,
1764761715.515544,160,1,None,,
1764761715.586269,161,1,None,,
1764761715.657097,162,1,None,,
1764761715.727344,163,1,None,,
1764761715.797634,164,1,None,,
1764761715.870695,165,1,None,,
1764761715.999803,166,1,None,,
1764761716.011831,167,1,None,,
1764761716.078552,168,1,None,,
1764761716.151692,169,1,None,,
1764761716.219810,170,1,None,,
1764761716.289760,171,1,None,,
1764761716.360655,172,1,None,,
1764761716.434006,173,1,None,,
1764761716.501845,174,1,None,,
1764761716.571562,175,1,None,,
1764761716.641896,176,1,None,,
1764761716.712741,177,1,None,,
1764761716.782250,178,1,None,,
1764761716.852776,179,1,None,,
1764761716.923202,180,1,None,,
1764761717.054032,181,1,None,,
1764761717.071348,182,1,None,,
1764761717.133193,183,1,None,,
1764761717.204283,184,1,None,,
1764761717.274726,185,1,None,,
1764761717.344630,186,1,None,,
1764761717.419054,187,1,None,,
1764761717.485164,188,1,None,,
1764761717.555506,189,1,None,,
1764761717.626566,190,1,None,,
1764761717.699318,191,1,None,,
1764761717.767099,192,1,None,,
1764761717.837784,193,1,None,,
1764761717.907471,194,1,None,,
1764761717.979564,195,1,None,,
1764761718.072002,196,1,None,,
1764761718.118335,197,1,None,,
1764761718.188858,198,1,None,,
1764761718.259249,199,1,None,,
1764761718.329703,200,1,None,,
1764761718.400011,201,1,None,,
1764761718.470715,202,1,None,,
1764761718.540955,203,1,None,,
1764761718.611137,204,1,None,,
1764761718.681509,205,1,None,,
1764761718.752085,206,1,None,,
1764761718.822428,207,1,None,,
1764761718.892957,208,1,None,,
1764761718.963363,209,1,None,,
1764761719.033213,210,1,None,,
1764761719.154007,211,1,None,,
1764761719.174191,212,1,None,,
1764761719.244846,213,1,None,,
1764761719.315516,214,1,None,,
1764761719.386139,215,1,None,,
1764761719.456121,216,1,None,,
1764761719.526444,217,1,None,,
1764761719.596905,218,1,None,,
1764761719.670436,219,1,None,,
1764761719.737623,220,1,None,,
1764761719.808692,221,1,None,,
1764761719.879285,222,1,None,,
1764761719.952805,223,1,None,,
1764761720.019946,224,1,None,,
1764761720.090154,225,1,None,,
1764761720.216191,226,1,None,,
1764761720.231768,227,1,None,,
1764761720.300788,228,1,None,,
1764761720.371204,229,1,None,,
1764761720.444104,230,1,None,,
1764761720.512493,231,1,None,,
1764761720.582572,232,1,None,,
1764761720.653482,233,1,None,,
1764761720.723895,234,1,None,,
1764761720.794715,235,1,None,,
1764761720.864342,236,1,None,,
1764761720.934880,237,1,None,,
1764761721.004798,238,1,None,,
1764761721.075259,239,1,None,,
